name,summary
/classiq/open_library.functions.state_preparation.inplace_prepare_int,"This function is **deprecated**. Use in-place-xor assignment statement in the form _target-var_ **^=** _quantum-expression_ or **inplace_xor(**_quantum-expression_**,** _target-var_**)** instead."
/classiq/open_library.functions.state_preparation.prepare_int,"This function is **deprecated**. Use assignment statement in the form _target-var_ **|=** _quantum-expression_ or **assign(**_quantum-expression_**,** _target-var_**)** instead."
/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.self_product,Define a function map from R^n to R.
