PatternName
Amplitude Amplification
Basis Change
Circuit Construction Utility
Creating Entanglement
Data Encoding
Domain Specific Application
Dynamic Circuit
Function Table
Grover
Hamiltonian Simulation
Initialization
Linear Combination of Unitaries
Oracle
Phase Shift
Quantum Amplitude Estimation
Quantum Approximate Optimization Algorithm (QAOA)
Quantum Arithmetic
Quantum Logical Operators
Quantum Neural Network (QNN)
Quantum Phase Estimation (QPE)
SWAP Test
Schmidt Decomposition
Variational Quantum Algorithm (VQA)
Variational Quantum Eigensolver (VQE)
